original_word,positive,neutral,negative
washed,0.06,0.76,0.18
arts,0.18,0.79,0.03
"""considered",0.04,0.94,0.02
mans,0.22,0.57,0.21
confused,0.0,0.0,1.0
sake.,0.16,0.58,0.26
"""Hostel""",0.06,0.92,0.02
whelmed,0.13,0.81,0.06
"""thinking",0.07,0.9,0.03
"audiences"".",0.2,0.74,0.06
figured,0.07,0.84,0.09
hooks,0.18,0.78,0.04
least.,0.01,0.77,0.22
banal,0.0,0.0,1.0
"""Saw""",0.07,0.89,0.04
"further,",0.11,0.84,0.05
horrible.,0.0,0.0,1.0
rid,0.33,0.59,0.08
corn,0.08,0.86,0.06
Harvest,0.19,0.76,0.05
Besides,0.08,0.88,0.04
$2,0.01,0.98,0.01
merits,0.2,0.74,0.06
inventory.<br,0.02,0.98,0.0
bargain,0.89,0.08,0.03
bin,0.08,0.76,0.16
"thereof,",0.04,0.88,0.08
"through,",0.12,0.84,0.04
daughters,0.32,0.61,0.07
maze,0.19,0.72,0.09
frantic,0.08,0.39,0.53
premonition,0.12,0.72,0.16
field,0.1,0.86,0.04
"maze,",0.19,0.72,0.09
"otherwise,",0.04,0.85,0.11
"2"",",0.13,0.81,0.06
OWN,0.14,0.81,0.05
"children,",0.19,0.74,0.07
"production,",0.15,0.8,0.05
renamed,0.24,0.6,0.16
"crap"".",0.0,0.0,1.0
translating,0.17,0.77,0.06
drunken,0.01,0.04,0.95
imagination,0.18,0.76,0.06
half-articulate,0.13,0.77,0.1
ridiculous),0.0,0.0,1.0
disparate,0.13,0.81,0.06
pitiful,0.0,0.0,1.0
accurately,0.82,0.15,0.03
spring,0.09,0.88,0.03
connected,0.12,0.85,0.03
.<br,0.01,0.99,0.0
three-legged,0.01,0.99,0.0
dishevelled,0.13,0.81,0.06
(it's,0.3,0.68,0.02
freedom,0.28,0.66,0.06
"masterful,",0.13,0.81,0.06
5-year,0.01,0.99,0.0
things),0.16,0.76,0.08
defined,0.12,0.83,0.05
"disbelief,",0.13,0.66,0.21
portray,0.11,0.25,0.64
teenagers,0.13,0.79,0.08
incorrectness,0.13,0.81,0.06
"""pretentious",0.04,0.1,0.86
milking,0.13,0.79,0.08
"poetry,",0.39,0.54,0.07
stool.,0.07,0.89,0.04
thing:,0.07,0.87,0.06
tolerate,0.04,0.51,0.45
dialogue...,0.14,0.55,0.31
Slavic,0.13,0.81,0.06
squad,0.16,0.8,0.04
betrayal,0.0,0.0,1.0
wandering,0.11,0.75,0.14
tossed,0.04,0.3,0.66
fedoras,0.13,0.81,0.06
"lot,",0.21,0.66,0.13
driving,0.19,0.75,0.06
picture:,0.12,0.8,0.08
pulp.,0.04,0.92,0.04
vague,0.0,0.0,1.0
officers,0.13,0.82,0.05
faintly,0.13,0.81,0.06
outset.,0.13,0.81,0.06
"crater,",0.06,0.89,0.05
mouth,0.07,0.66,0.27
"flight,",0.14,0.81,0.05
charge.,0.07,0.85,0.08
lights,0.13,0.83,0.04
"Nolte,",0.13,0.81,0.06
camaraderie,0.39,0.57,0.04
residence,0.16,0.8,0.04
jobless,0.04,0.14,0.82
Nolte.,0.13,0.81,0.06
face.,0.12,0.82,0.06
wring,0.04,0.9,0.06
shut.,0.02,0.46,0.52
puffy,0.09,0.62,0.29
"cigaret,",0.11,0.83,0.06
Nolte's,0.05,0.91,0.04
tragic,0.0,0.0,1.0
"squad,",0.16,0.8,0.04
"explosion,",0.15,0.69,0.16
Bomb.,0.06,0.07,0.87
gormless,0.13,0.81,0.06
smashes,0.19,0.25,0.56
eternal,0.15,0.8,0.05
beats,0.66,0.24,0.1
man-mountain,0.08,0.9,0.02
interviewees,0.13,0.81,0.06
atomic,0.09,0.88,0.03
brain,0.12,0.81,0.07
LA,0.33,0.53,0.14
muscle-bound,0.03,0.95,0.02
whore,0.01,0.02,0.97
Foprget,0.13,0.81,0.06
HQ,0.52,0.45,0.03
dumbest-looking,0.0,0.01,0.99
"members,",0.14,0.82,0.04
military,0.12,0.83,0.05
convertible,0.18,0.78,0.04
wife.,0.5,0.44,0.06
"mad,",0.02,0.03,0.95
gigantic,0.11,0.46,0.43
ostensibly,0.13,0.81,0.06
articulacy,0.13,0.81,0.06
anger,0.01,0.02,0.97
"redhead,",0.11,0.84,0.05
neighbor,0.17,0.78,0.05
Hemingway,0.22,0.73,0.05
Dylan,0.19,0.76,0.05
"McDermott,",0.05,0.93,0.02
nauseating,0.13,0.81,0.06
"Dern,",0.32,0.49,0.19
conclude,0.07,0.89,0.04
spots,0.1,0.84,0.06
"fine,",0.95,0.03,0.02
decaying,0.01,0.01,0.98
interconnecting,0.13,0.81,0.06
open-ended,0.01,0.06,0.93
border,0.07,0.9,0.03
darn,0.19,0.55,0.26
rides,0.31,0.62,0.07
saloon,0.2,0.77,0.03
rational,0.89,0.09,0.02
Mexico,0.09,0.88,0.03
sad-faced,0.0,0.06,0.94
badlands,0.12,0.83,0.05
"stories,",0.2,0.74,0.06
"girls,",0.17,0.78,0.05
frontier,0.13,0.83,0.04
connects,0.1,0.86,0.04
"hunter,",0.26,0.7,0.04
corpse.,0.11,0.62,0.27
loosely,0.02,0.91,0.07
satisfactorily.<br,0.05,0.94,0.01
"unexplained,",0.06,0.66,0.28
vignettes.<br,0.01,0.99,0.0
fleeing,0.04,0.15,0.81
Hunt.<br,0.05,0.94,0.01
/>Neither,0.02,0.94,0.04
manner.<br,0.02,0.97,0.01
comprehension.,0.24,0.66,0.1
ignores,0.0,0.0,1.0
Channel.,0.11,0.86,0.03
targets,0.22,0.68,0.1
(Big,0.06,0.92,0.02
scientists,0.11,0.84,0.05
"Secondly,",0.06,0.9,0.04
Eath,0.13,0.81,0.06
madam,0.13,0.83,0.04
find.,0.14,0.82,0.04
costs.<br,0.03,0.94,0.03
altered,0.08,0.73,0.19
"back?""",0.14,0.8,0.06
Women,0.05,0.92,0.03
distant,0.07,0.84,0.09
70,0.08,0.89,0.03
waist,0.01,0.96,0.03
shock)and,0.19,0.62,0.19
man.,0.27,0.65,0.08
president,0.15,0.8,0.05
cloning,0.21,0.72,0.07
"wondering,",0.06,0.9,0.04
chemical,0.08,0.88,0.04
"""Hey,",0.07,0.91,0.02
Male,0.02,0.95,0.03
Lifetime,0.25,0.71,0.04
Men),0.06,0.9,0.04
"starts,",0.09,0.51,0.4
genetically,0.08,0.87,0.05
However,0.05,0.91,0.04
assumes,0.06,0.89,0.05
intellect,0.33,0.61,0.06
Female,0.03,0.94,0.03
warfare,0.13,0.77,0.1
thirsty,0.57,0.32,0.11
humans,0.09,0.87,0.04
"movie!!!!"".<br",0.39,0.38,0.23
Swayze,0.22,0.73,0.05
"Russians,",0.07,0.88,0.05
boring),0.0,0.0,1.0
"toilet,",0.08,0.83,0.09
Point,0.06,0.89,0.05
"""nooooooooooooo,",0.04,0.92,0.04
CRAP!,0.0,0.0,1.0
well..,0.61,0.34,0.05
Dancing,0.56,0.41,0.03
"continued"",",0.19,0.74,0.07
lines....,0.1,0.85,0.05
cried,0.02,0.01,0.97
ONLY,0.02,0.93,0.05
explodes,0.07,0.18,0.75
Patrick,0.21,0.76,0.03
clean,0.99,0.01,0.0
Dirty,0.0,0.0,1.0
"""to",0.06,0.91,0.03
know),0.09,0.87,0.04
Personally,0.11,0.85,0.04
warned!),0.0,0.0,1.0
pre,0.16,0.8,0.04
agent,0.06,0.9,0.04
ONE,0.06,0.9,0.04
NOTHING.,0.03,0.25,0.72
lasts,0.21,0.69,0.1
(TV,0.02,0.97,0.01
North,0.08,0.89,0.03
(awful,0.0,0.0,1.0
"booooooring,",0.0,0.01,0.99
movie.....,0.39,0.38,0.23
ARGH....This,0.0,0.01,0.99
swayze,0.22,0.73,0.05
gonna,0.26,0.63,0.11
ill,0.0,0.0,1.0
(just,0.07,0.9,0.03
"series),",0.15,0.82,0.03
"running,",0.14,0.81,0.05
sucks,0.0,0.0,1.0
Break,0.05,0.48,0.47
subject-of-knowing.,0.2,0.76,0.04
"offensive,",0.0,0.0,1.0
"meta,",0.22,0.37,0.41
Maybe,0.01,0.97,0.02
absurdity,0.1,0.16,0.74
absurd,0.0,0.0,1.0
dump,0.0,0.02,0.98
relation,0.12,0.83,0.05
bleed.,0.02,0.14,0.84
crap.<br,0.0,0.01,0.99
reviewed,0.38,0.53,0.09
Lynch's,0.04,0.42,0.54
cacophonist,0.13,0.81,0.06
plate,0.07,0.9,0.03
transcend,0.22,0.71,0.07
Dumbland.,0.13,0.81,0.06
"atrocious,",0.0,0.0,1.0
$20.<br,0.0,1.0,0.0
"Real,",0.58,0.36,0.06
here:,0.11,0.85,0.04
normality,0.3,0.56,0.14
crank,0.05,0.92,0.03
spare,0.4,0.54,0.06
Dumbland,0.13,0.81,0.06
agony.,0.01,0.01,0.98
me:,0.15,0.77,0.08
children.,0.19,0.74,0.07
chicken-scratch,0.01,0.97,0.02
minutes.<br,0.0,1.0,0.0
meta,0.22,0.37,0.41
"sounds,",0.26,0.68,0.06
/>Maybe,0.02,0.97,0.01
humanity's,0.22,0.58,0.2
in-itself,0.04,0.92,0.04
Hansen,0.09,0.88,0.03
Lynch,0.05,0.76,0.19
"/>Instead,",0.03,0.94,0.03
cynical,0.0,0.0,1.0
humor.,0.58,0.35,0.07
humorless,0.13,0.81,0.06
noticeably,0.07,0.81,0.12
kicked.<br,0.04,0.78,0.18
vampires,0.15,0.77,0.08
plot:,0.15,0.8,0.05
"word,",0.09,0.84,0.07
Blood,0.17,0.73,0.1
it;,0.14,0.8,0.06
bounce,0.1,0.84,0.06
kicking...a,0.31,0.63,0.06
public.,0.15,0.77,0.08
angle.,0.05,0.92,0.03
set-up,0.03,0.96,0.01
begins,0.11,0.76,0.13
Wilson's,0.04,0.95,0.01
anemic.,0.0,0.0,1.0
reese,0.2,0.77,0.03
"are,",0.08,0.88,0.04
Pun,0.08,0.8,0.12
specs,0.12,0.84,0.04
debate.,0.28,0.64,0.08
direct-to-video,0.42,0.57,0.01
"limited,",0.02,0.6,0.38
cam,0.1,0.86,0.04
super-shaky,0.01,0.01,0.98
sight.<br,0.03,0.96,0.01
monkey,0.15,0.81,0.04
slaughter,0.15,0.72,0.13
"treating,",0.17,0.75,0.08
Police,0.12,0.81,0.07
"watch,",0.28,0.65,0.07
spoke,0.18,0.71,0.11
kicking,0.19,0.73,0.08
responds,0.16,0.77,0.07
of.<br,0.02,0.97,0.01
foul-ups,0.0,0.0,1.0
creatures,0.19,0.75,0.06
shift,0.07,0.89,0.04
"lighting,",0.21,0.75,0.04
action/horror,0.06,0.07,0.87
"speed,",0.13,0.83,0.04
hurtful,0.0,0.0,1.0
intended.,0.21,0.61,0.18
(only,0.01,0.97,0.02
Hussey,0.07,0.91,0.02
doorknob,0.05,0.88,0.07
"hero,",0.96,0.03,0.01
"staff,",0.5,0.44,0.06
"And,",0.15,0.8,0.05
Murray,0.14,0.83,0.03
Oliva,0.13,0.84,0.03
"chauffeurs,",0.13,0.81,0.06
funds,0.13,0.83,0.04
fancy,0.74,0.18,0.08
irrational,0.0,0.0,1.0
"apparently,",0.05,0.82,0.13
attorney,0.19,0.75,0.06
behaves,0.15,0.65,0.2
round-the-clock,0.01,0.99,0.0
offering.,0.31,0.65,0.04
"even,",0.05,0.87,0.08
staff,0.5,0.44,0.06
stupefyingly,0.13,0.81,0.06
Our,0.38,0.57,0.05
life-threatening,0.01,0.03,0.96
nothing),0.03,0.25,0.72
illogical.,0.0,0.0,1.0
"hunk,",0.33,0.57,0.1
unlikely,0.05,0.9,0.05
terror.,0.12,0.29,0.59
grapple,0.13,0.81,0.06
thinking?).,0.09,0.87,0.04
fling,0.06,0.85,0.09
"tycoon,",0.38,0.53,0.09
"injuries,",0.01,0.03,0.96
stalks,0.05,0.78,0.17
"mishandle),",0.13,0.81,0.06
mansion.,0.25,0.7,0.05
neglected,0.0,0.01,0.99
disposal,0.16,0.79,0.05
system,0.15,0.8,0.05
"domestic,",0.08,0.88,0.04
blackmails,0.13,0.81,0.06
grounds,0.18,0.76,0.06
vulnerable,0.01,0.01,0.98
insulting,0.0,0.0,1.0
nurses,0.14,0.82,0.04
privileged,0.45,0.49,0.06
"flair,",0.75,0.21,0.04
Earth,0.14,0.81,0.05
stormtrooper,0.12,0.81,0.07
tanks,0.18,0.78,0.04
Robocop,0.08,0.88,0.04
Kershner's,0.05,0.91,0.04
surrounding,0.13,0.82,0.05
unpleasantly,0.13,0.81,0.06
(Daniel,0.03,0.96,0.01
"nastiness,",0.0,0.01,0.99
benevolent,0.8,0.17,0.03
Old,0.1,0.44,0.46
"round,",0.16,0.81,0.03
suspicious,0.0,0.0,1.0
empty,0.0,0.02,0.98
turned,0.04,0.18,0.78
Weller,0.21,0.76,0.03
anonymous,0.1,0.7,0.2
Omni,0.06,0.93,0.01
"Products,",0.15,0.81,0.04
Allen,0.09,0.89,0.02
throughout;,0.17,0.79,0.04
trashy,0.0,0.0,1.0
Robocop.,0.08,0.88,0.04
Noonan,0.12,0.82,0.06
nauseate,0.13,0.81,0.06
Consumer,0.07,0.89,0.04
"banners,",0.16,0.78,0.06
"dubious,",0.0,0.0,1.0
end;,0.1,0.85,0.05
Nancy,0.08,0.89,0.03
"cyborg,",0.05,0.9,0.05
droll,0.13,0.81,0.06
original's,0.29,0.57,0.14
lackeys,0.13,0.81,0.06
"violence,",0.0,0.01,0.99
"commercial,",0.15,0.76,0.09
Irvin,0.09,0.88,0.03
"numbing,",0.01,0.03,0.96
follow-up,0.03,0.96,0.01
moronic,0.0,0.0,1.0
brainlessly,0.13,0.81,0.06
all-new,0.03,0.96,0.01
cash-in,0.02,0.97,0.01
'Magnavolt',0.28,0.63,0.09
relentless,0.06,0.15,0.79
Nazi-esquire,0.08,0.73,0.19
protector,0.13,0.83,0.04
idea.,0.06,0.89,0.05
guards,0.09,0.85,0.06
"Herlihy),",0.13,0.81,0.06
"emotion,",0.3,0.49,0.21
definite,0.51,0.44,0.05
"villain,",0.3,0.31,0.39
"mess,",0.0,0.0,1.0
totalitarian,0.05,0.29,0.66
Robocop's,0.05,0.9,0.05
Instead,0.04,0.84,0.12
amidst,0.23,0.72,0.05
force,0.03,0.93,0.04
Seed,0.12,0.83,0.05
super,0.86,0.11,0.03
placements,0.09,0.88,0.03
investigated,0.11,0.84,0.05
additionally,0.13,0.81,0.06
lifeless,0.0,0.0,1.0
periodic,0.14,0.8,0.06
Boll,0.13,0.77,0.1
scifi,0.23,0.7,0.07
skills,0.4,0.54,0.06
"creepiness,",0.11,0.16,0.73
degree,0.12,0.84,0.04
spark,0.16,0.77,0.07
headed,0.13,0.79,0.08
cable.,0.06,0.91,0.03
Uwe,0.17,0.81,0.02
slips,0.07,0.66,0.27
flushed.,0.1,0.6,0.3
Keir,0.09,0.87,0.04
worked.,0.82,0.09,0.09
mercenaries,0.09,0.81,0.1
walked,0.13,0.73,0.14
catching,0.55,0.4,0.05
reporters,0.09,0.86,0.05
assembly,0.1,0.87,0.03
Additionally,0.13,0.81,0.06
rattled,0.03,0.05,0.92
Udo,0.13,0.81,0.06
retrograde,0.13,0.81,0.06
guessing,0.04,0.93,0.03
"battalion,""",0.09,0.88,0.03
"shot,",0.08,0.85,0.07
bashed,0.0,0.01,0.99
cussword,0.13,0.81,0.06
executed.,0.48,0.32,0.2
roles.,0.11,0.85,0.04
Kargil,0.13,0.81,0.06
Each,0.06,0.92,0.02
battles,0.22,0.42,0.36
dies.,0.01,0.0,0.99
First,0.13,0.82,0.05
together.<br,0.02,0.98,0.0
spoiler.),0.11,0.78,0.11
shown.,0.1,0.84,0.06
"stretcher,",0.09,0.88,0.03
predictable.,0.08,0.12,0.8
list,0.15,0.81,0.04
previous.,0.16,0.76,0.08
Border.,0.07,0.9,0.03
"uphill,",0.1,0.73,0.17
(This,0.14,0.83,0.03
thousand,0.09,0.85,0.06
stretcher.,0.09,0.88,0.03
terribly,0.0,0.0,1.0
"time),",0.16,0.78,0.06
weeping,0.05,0.3,0.65
miniscule,0.13,0.81,0.06
long!,0.13,0.8,0.07
army,0.14,0.81,0.05
yells,0.1,0.33,0.57
marches,0.18,0.74,0.08
synchronized.,0.24,0.72,0.04
flaws.,0.0,0.0,1.0
long.,0.13,0.8,0.07
fought,0.01,0.01,0.98
4+,0.03,0.95,0.02
whopping,0.05,0.91,0.04
"Anyways,",0.06,0.88,0.06
advertised.,0.18,0.07,0.75
"""No,",0.01,0.97,0.02
comical.,0.04,0.04,0.92
exact,0.72,0.25,0.03
actresses,0.13,0.74,0.13
information,0.15,0.79,0.06
torture.,0.01,0.05,0.94
dupatta,0.13,0.81,0.06
"door.""",0.11,0.85,0.04
/>Dennis,0.04,0.95,0.01
asleep.<br,0.04,0.94,0.02
"Pegs,",0.05,0.91,0.04
sixth,0.14,0.83,0.03
button).,0.05,0.93,0.02
brother's,0.29,0.54,0.17
normal,0.07,0.82,0.11
Dreaming,0.48,0.47,0.05
placed,0.09,0.87,0.04
Duke,0.1,0.87,0.03
volleyball,0.15,0.81,0.04
"being,",0.1,0.82,0.08
(Seymour,0.02,0.97,0.01
Cassell,0.13,0.81,0.06
locals-only,0.01,0.98,0.01
surf,0.18,0.78,0.04
barney,0.14,0.82,0.04
"girlfriends,",0.21,0.72,0.07
on-going,0.2,0.74,0.06
endure.,0.02,0.06,0.92
"Cassell),",0.13,0.81,0.06
"loser,",0.0,0.0,1.0
70s,0.15,0.79,0.06
80s).,0.33,0.44,0.23
bet,0.07,0.91,0.02
surfer,0.22,0.73,0.05
irritable,0.02,0.06,0.92
peddling,0.13,0.81,0.06
squirming).,0.13,0.81,0.06
"culture,",0.21,0.74,0.05
surfers,0.15,0.81,0.04
Tanya,0.13,0.84,0.03
"""That's",0.03,0.96,0.01
community.,0.18,0.78,0.04
cheat,0.0,0.02,0.98
records.,0.2,0.75,0.05
contest,0.14,0.81,0.05
Chicago,0.06,0.91,0.03
IMDB's,0.08,0.77,0.15
"""Gag",0.06,0.86,0.08
"show.""",0.24,0.68,0.08
(keep,0.12,0.86,0.02
list.<br,0.01,0.99,0.0
Midge,0.08,0.87,0.05
California,0.08,0.89,0.03
T.T.,0.04,0.81,0.15
Denuccio,0.13,0.81,0.06
vote,0.32,0.62,0.06
"T.T.,",0.04,0.81,0.15
months.<br,0.02,0.97,0.01
Worst,0.0,0.0,1.0
/>California,0.02,0.98,0.0
Square,0.05,0.93,0.02
down-on-his-luck,0.98,0.01,0.01
/>Whatever,0.07,0.91,0.02
Church,0.34,0.6,0.06
earlier.,0.11,0.78,0.11
Evil,0.01,0.0,0.99
'El,0.17,0.55,0.28
Lucifer,0.12,0.81,0.07
allows,0.23,0.74,0.03
enthusiasm,0.89,0.09,0.02
tackling,0.19,0.66,0.15
"Devil-ship,",0.04,0.85,0.11
underwater,0.14,0.8,0.06
perm,0.03,0.94,0.03
'Casablanca'.,0.18,0.77,0.05
Captain,0.14,0.82,0.04
"wreck,",0.0,0.0,1.0
Wayne,0.16,0.8,0.04
supernatural,0.18,0.76,0.06
centuries,0.13,0.82,0.05
2'.,0.24,0.68,0.08
Eternity',0.3,0.49,0.21
stolen,0.01,0.01,0.98
'Jaws,0.18,0.78,0.04
unseen,0.12,0.78,0.1
talent.,0.91,0.07,0.02
manned,0.13,0.81,0.06
sunken,0.08,0.46,0.46
"Spain,",0.08,0.89,0.03
multi-tasks,0.03,0.96,0.01
"boat,",0.32,0.63,0.05
Crawford.,0.08,0.89,0.03
performs,0.43,0.52,0.05
soft,0.21,0.73,0.06
Spoilers***<br,0.02,0.96,0.02
ramshackle,0.13,0.81,0.06
non-discerning.<br,0.0,1.0,0.0
divers,0.24,0.71,0.05
Below',0.04,0.91,0.05
many),0.16,0.79,0.05
***Minor,0.02,0.95,0.03
'From,0.12,0.81,0.07
heretic,0.13,0.81,0.06
wreck,0.0,0.0,1.0
script-writer,0.04,0.87,0.09
Not',0.02,0.28,0.7
sea-creature.<br,0.01,0.98,0.01
cargo,0.13,0.83,0.04
treasure.,0.94,0.05,0.01
masses,0.11,0.81,0.08
charter,0.21,0.75,0.04
malevolent,0.13,0.81,0.06
/>'The,0.3,0.63,0.07
'To,0.19,0.68,0.13
"Diablo',",0.55,0.4,0.05
Crawford,0.08,0.89,0.03
sub-basement.,0.01,0.98,0.01
faults,0.01,0.01,0.98
priests,0.16,0.78,0.06
attacked,0.0,0.0,1.0
'go,0.33,0.6,0.07
"sludge,",0.03,0.42,0.55
"variety,",0.14,0.83,0.03
monster.,0.39,0.44,0.17
villain;,0.3,0.31,0.39
"elsewhere,",0.07,0.88,0.05
to',0.37,0.41,0.22
fish.,0.5,0.46,0.04
"photographers,",0.15,0.8,0.05
incomplete,0.0,0.0,1.0
"imposing,",0.08,0.24,0.68
'em,0.4,0.53,0.07
terrifying.,0.0,0.01,0.99
comment).<br,0.01,0.99,0.0
roles;,0.11,0.85,0.04
"""Piranha""",0.03,0.95,0.02
Caribe;,0.08,0.89,0.03
30-35,0.0,1.0,0.0
(birds),0.05,0.94,0.01
pic,0.1,0.83,0.07
piece.,0.09,0.83,0.08
half-hour.,0.0,0.97,0.03
Caribe,0.08,0.89,0.03
hunter/trapper,0.11,0.87,0.02
grin,0.19,0.75,0.06
"confusing,",0.0,0.0,1.0
jungle.,0.19,0.76,0.05
sadistic,0.01,0.01,0.98
strikes,0.14,0.44,0.42
motorcycle,0.15,0.8,0.05
fish),0.5,0.46,0.04
lengthy,0.15,0.8,0.05
"Smith,",0.12,0.85,0.03
"""Piranha,",0.03,0.95,0.02
(see,0.07,0.91,0.02
Dante-directed,0.02,0.97,0.01
central,0.25,0.71,0.04
filler,0.09,0.69,0.22
hopeless,0.0,0.0,1.0
doomed,0.0,0.0,1.0
'78,0.06,0.91,0.03
Smith,0.12,0.85,0.03
wildlife,0.24,0.72,0.04
Amazon,0.02,0.97,0.01
"Piranha.""",0.1,0.79,0.11
"race,",0.17,0.79,0.04
muddy,0.03,0.19,0.78
"Physically,",0.07,0.86,0.07
manlike,0.13,0.81,0.06
"piece,",0.09,0.83,0.08
refused,0.0,0.01,0.99
Halloween-series,0.03,0.96,0.01
decade,0.14,0.82,0.04
featured,0.23,0.72,0.05
non-compelling,0.02,0.06,0.92
Loomis,0.13,0.81,0.06
before-,0.05,0.92,0.03
series!<br,0.01,0.99,0.0
already.,0.16,0.79,0.05
re-writes,0.05,0.85,0.1
Myer's,0.12,0.85,0.03
6th,0.06,0.93,0.01
lacking.<br,0.0,0.0,1.0
watch.<br,0.02,0.97,0.01
originality.,0.73,0.2,0.07
re-shot,0.04,0.92,0.04
'90's,0.07,0.81,0.12
scary.,0.0,0.0,1.0
film-role.,0.07,0.88,0.05
imagine-less,0.04,0.94,0.02
danger,0.0,0.01,0.99
build-up,0.06,0.93,0.01
storytelling,0.26,0.67,0.07
well.,0.61,0.34,0.05
pleasing.,1.0,0.0,0.0
suiting,0.28,0.66,0.06
prominently,0.13,0.81,0.06
Pleasence,0.13,0.81,0.06
threatening,0.01,0.03,0.96
Myers,0.09,0.89,0.02
"Man,",0.27,0.65,0.08
needless,0.01,0.03,0.96
armoured,0.09,0.88,0.03
Tye.,0.2,0.72,0.08
system.,0.15,0.8,0.05
"damage,",0.0,0.0,1.0
Dillon,0.08,0.9,0.02
"repossessed,",0.13,0.81,0.06
/>Typical,0.03,0.95,0.02
heist,0.31,0.58,0.11
older,0.14,0.67,0.19
Matt,0.03,0.96,0.01
conscience,0.16,0.76,0.08
deciding,0.08,0.88,0.04
Dillon.<br,0.01,0.99,0.0
Tye,0.2,0.72,0.08
godfather,0.4,0.55,0.05
ones:<br,0.01,0.9,0.09
chose,0.09,0.75,0.16
happened)to,0.06,0.46,0.48
tripe,0.0,0.02,0.98
repossessing,0.13,0.81,0.06
flirtation,0.04,0.43,0.53
collateral,0.11,0.73,0.16
ridden,0.15,0.75,0.1
missing.<br,0.02,0.07,0.91
thwarting,0.08,0.53,0.39
shafted,0.0,0.01,0.99
/>Because,0.03,0.94,0.03
supposedly,0.06,0.86,0.08
"more,",0.15,0.78,0.07
caper,0.11,0.85,0.04
homeless,0.11,0.62,0.27
guards.,0.09,0.85,0.06
RECORD's,0.11,0.78,0.11
"Row""",0.07,0.91,0.02
"neither,",0.02,0.75,0.23
dismissed,0.0,0.0,1.0
ensure,0.35,0.62,0.03
RECORD,0.22,0.72,0.06
gusto,0.83,0.12,0.05
Sorority,0.16,0.8,0.04
/>Acting,0.07,0.87,0.06
sea?<br,0.05,0.94,0.01
rehashed,0.13,0.81,0.06
/>RECORD's,0.01,0.98,0.01
/>Originality,0.62,0.36,0.02
angles,0.09,0.87,0.04
dumped,0.0,0.01,0.99
/,0.06,0.91,0.03
*****,0.06,0.91,0.03
"Summer""",0.17,0.79,0.04
counterpart:,0.1,0.86,0.04
route,0.11,0.85,0.04
churning,0.16,0.58,0.26
masked,0.06,0.58,0.36
"Know..."",",0.09,0.87,0.04
recommended.,0.97,0.02,0.01
blatant!<br,0.0,0.0,1.0
answer,0.07,0.9,0.03
'victim',0.01,0.01,0.98
twists',0.66,0.26,0.08
uninspiring,0.0,0.0,1.0
(among,0.06,0.92,0.02
others),0.11,0.84,0.05
costume,0.15,0.8,0.05
'surprise,0.77,0.17,0.06
/>**,0.06,0.91,0.03
norm,0.06,0.87,0.07
downfall.,0.0,0.0,1.0
"Faculty""",0.17,0.79,0.04
House,0.29,0.66,0.05
enthusiasm.,0.89,0.09,0.02
"classmate,",0.2,0.72,0.08
undeserved,0.0,0.0,1.0
however;,0.05,0.91,0.04
95,0.03,0.95,0.02
contributing,0.21,0.74,0.05
*EVER*,0.17,0.8,0.03
ilke,0.13,0.81,0.06
Korea's,0.02,0.96,0.02
momentarily,0.08,0.86,0.06
"""heartwarming""",0.98,0.02,0.0
intention,0.15,0.78,0.07
informs,0.18,0.74,0.08
grand,0.91,0.07,0.02
"Catholic,",0.22,0.73,0.05
"scheme,",0.18,0.76,0.06
dropping,0.1,0.78,0.12
sincere,0.99,0.01,0.0
Hebrew,0.08,0.88,0.04
bounces,0.08,0.75,0.17
solely,0.03,0.94,0.03
opposed,0.04,0.7,0.26
chest,0.06,0.91,0.03
putz,0.04,0.31,0.65
"obnoxious,",0.0,0.0,1.0
tutors.<br,0.06,0.93,0.01
manhood.,0.26,0.68,0.06
forth,0.14,0.81,0.05
teenage,0.15,0.73,0.12
convinced,0.28,0.54,0.18
Fox's,0.12,0.8,0.08
parent??,0.09,0.88,0.03
Bar,0.16,0.79,0.05
"Mitzvah,",0.41,0.53,0.06
"families,",0.2,0.76,0.04
passage,0.17,0.78,0.05
performed.,0.24,0.69,0.07
precious,0.93,0.05,0.02
conniving,0.13,0.81,0.06
"lessons,",0.53,0.41,0.06
"sorry,",0.0,0.0,1.0
"bris,",0.54,0.42,0.04
"warm,",0.61,0.36,0.03
"garbage,",0.0,0.0,1.0
junior,0.1,0.86,0.04
see's,0.05,0.85,0.1
borderline,0.02,0.35,0.63
"ditzy,",0.01,0.1,0.89
"crap,",0.0,0.0,1.0
dysfunctional,0.0,0.0,1.0
saddened,0.0,0.0,1.0
23,0.13,0.81,0.06
"episode,",0.23,0.62,0.15
bes-test,0.11,0.87,0.02
gift,0.98,0.01,0.01
studying,0.44,0.49,0.07
duped,0.0,0.0,1.0
"""procedure""",0.04,0.94,0.02
offspring,0.15,0.79,0.06
fuzzy,0.04,0.3,0.66
event.,0.17,0.79,0.04
"""cute""",1.0,0.0,0.0
Mitzvah,0.41,0.53,0.06
"cool,",0.99,0.01,0.0
comply.<br,0.01,0.98,0.01
lunch,0.26,0.68,0.06
screen.We,0.04,0.94,0.02
brainy,0.79,0.18,0.03
/>Really,0.3,0.66,0.04
rejected.There's,0.0,0.0,1.0
"dies,the",0.02,0.01,0.97
"/>Anyway,six",0.01,0.98,0.01
"boat,the",0.32,0.64,0.04
"slut,the",0.18,0.3,0.52
